"Story","Title","Result","Date","Stability","Duration (s)"
"Home","Home product to buy","SUCCESS","2022-10-26T04:06:21.753234+07:00[Asia/Jakarta]","0.0","4.28"
"Login","Login with email and password","SUCCESS","2022-10-26T04:06:26.7230346+07:00[Asia/Jakarta]","0.0","24.34"
"Order","Order product","SUCCESS","2022-10-26T04:06:51.0749108+07:00[Asia/Jakarta]","0.0","5.92"
